SampleName,SciLifeID,Level,Class
80%1,R_101,80%,C
80%2,R_102,80%,C
80%3,R_103,80%,C
80%4,R_104,80%,C
60%1,R_105,60%,E
60%2,R_106,60%,E
60%3,R_107,60%,E
60%4,R_108,60%,E
40%1,R_109,40%,E
40%2,R_110,40%,E
40%3,R_111,40%,E
40%4,R_112,40%,E
30%1,R_113,30%,E
30%2,R_114,30%,E
30%3,R_115,30%,E
30%4,R_116,30%,E
7d30%1,R_117,30%7d,EI
7d30%2,R_118,30%7d,EI
7d30%3,R_119,30%7d,EI
Collapse1,R_120,Collapse,L
Collapse3,R_121,Collapse,L
Collapse4,R_122,Collapse,L
C48-1,R_123,C2d,L
C48-2,R_124,C2d,L
C48-3,R_125,C2d,L
Rehydrate1,R_126,Rehydrate,R
Rehydrate2,R_127,Rehydrate,R
Rehydrate3,R_128,Rehydrate,R